SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakZHVI,PctFallFromPeak
0,288000,0.00840336134453781,0.0359712230215827,0.110254433307633,0.110668818598368,0.0500635751317651,288000,0
1,203000,0.00445324096981692,0.0237014624306606,0.105664488017429,0.142902181527038,-0.0299709046241681,290500,-0.301204819277108
2,149600,0.00268096514745308,0.00808625336927224,0.118086696562033,0.206165203750879,-0.0238277335970073,192900,-0.224468636599274
3,886000,0.00294317410006792,0.0119931467732724,0.0688864760525998,0.0854167230827232,0.0132272470565431,886000,0
4,424900,0.0140811455847255,0.0429553264604811,0.145591803720679,0.124323057452987,-0.00679915716753388,455300,-0.0667691631891061
5,1283300,0.0282028683599071,0.0653328905860867,0.24604330517526,0.0880390773311186,0.0380589001849234,1283300,0
6,166500,0.00543478260869565,0.0189718482252142,0.115204286671132,0.17544433299,-0.0401382832365652,258700,-0.356397371472748
7,390700,0.0124384555584348,0.0360647043224609,0.0922560805143975,0.0642281844412651,0.00323045374757802,390700,0
8,222100,0.0072562358276644,0.0192748967416246,0.109945027486257,0.136381590189111,-0.0253775469598148,303700,-0.268686203490286
9,359000,0.0109828217403548,0.0417875798026698,0.121174266083698,0.132628885210291,-0.012640353202614,407700,-0.119450576404219
10,304600,0.00329380764163373,0.0119601328903654,0.0628053035589672,0.101088066920442,-0.00761587341783854,342700,-0.111175955646338
11,225900,0.004,0.0125504258180188,0.0767397521448999,0.125104941134457,-0.0094897278305307,256100,-0.117922686450605
12,598300,0.022036214554151,0.0704956163893362,0.176366496264255,,,598300,0
13,546600,0.00404114621601763,0.008859357696567,0.101349989925448,0.113998923540662,,546600,0
14,677300,0.0214145679384708,0.0924193548387097,0.295524100994644,0.135939890768702,0.079286873191543,677300,0
15,370600,0.00108049702863317,0.0195323246217332,0.0954773869346734,0.0966966460721561,0.0460743474750134,370600,0
16,740500,0.0010815195349466,0.00515813764083073,0.0198319790662443,0.104157926184807,0.0163241387760551,740500,0
17,967900,0.00602847936804906,0.021638167616635,0.029352334361374,0.120536061926809,,981000,-0.0133537206931702
18,849900,0.00377937876461557,-0.0093250961650542,0.0804729214340198,0.13261053606104,,871400,-0.0246729400963966
19,118100,-0.00169061707523246,0.000847457627118644,0.020743301642178,0.00394117770792612,-0.010765165929272,134700,-0.123236822568671
20,286800,0.00385019250962548,0.013069586718474,0.0847201210287443,0.128501212683642,0.0011932895509803,286900,-0.000348553502962705
21,958800,0.0120329322355921,0.0188077781319732,0.0699698694342149,0.143079015880136,,958800,0
22,432800,0.00956379752740844,0.0354066985645933,0.120662868979803,0.0738416961278172,-0.00171658350524273,440300,-0.0170338405632523
23,937500,0.0101282189419244,0.0140616549486209,0.11474435196195,0.101752025403714,0.0591723843675123,937500,0
24,163400,0.0155376009944065,0.0447570332480818,0.0915163660654643,0.12125457020391,-0.0324255928710294,233600,-0.300513698630137
25,775100,0.00911339669313891,0.0209430979978925,0.0735457063711911,0.181821823950386,0.0728440421527403,776600,-0.00193149626577389
26,524500,0.00267635251385968,0.00691111537723171,0.0452371462734157,0.0575489056561209,-0.0131773298020913,624800,-0.160531370038412
27,483800,0.0110762800417973,0.0287050818626409,0.119648229576487,0.0692216898017797,0.00747036680759705,483800,0
28,248300,0.00526315789473684,0.018040180401804,0.0748917748917749,0.125145158776073,-0.027424040547556,344600,-0.279454439930354
29,637700,0.00790263948158685,0.0267267750764772,0.0714045698924731,0.136387033578825,0.0025120143553492,637700,0
30,102500,0.0039177277179236,0.0148514851485149,0.0962566844919786,0.0386413357814921,0.000391083794118785,102500,0
31,434600,0.0156578639869128,0.0512820512820513,0.179695982627579,0.108554391576523,0.0438682236659111,434600,0
32,546300,0.0186462800671266,0.0661592505854801,0.166809055958992,0.113527326413895,0.059636201353594,546300,0
33,165500,0.00242277407631738,0.014093137254902,0.0448232323232323,0.0493107938667452,0.0140835093028859,165500,0
34,531100,0.00644305476596551,0.0176278980647634,0.0781567194478279,0.113040880995155,-0.00354502716496385,558000,-0.0482078853046595
35,923000,0.0125054848617815,0.0494599204093235,0.17191467750127,0.101894700430158,,923000,0
36,443700,0.0273211391525816,0.0816674792784008,0.280519480519481,0.10567891485694,,443700,0
37,260700,0.00695249130938586,0.0263779527559055,0.0772727272727273,0.0857240514074416,-0.0182112222472918,349500,-0.254077253218884
38,853800,0.00494350282485876,0.0190976366674624,0.0897255902999362,0.0948617051775891,,853800,0
39,92600,0.00325027085590466,0.00871459694989107,0.0334821428571429,-0.0015050595004763,-0.00716108659975601,100500,-0.0786069651741294
40,607000,0.00746887966804979,0.0244725738396625,0.0658472344161545,0.0935760986591512,0.0054130833127386,607000,0
41,566900,0.0130450321658327,0.02792384406165,0.0582415531080829,0.139481948380744,0.0106135418926987,566900,0
42,1262500,0.0058959445462513,0.016260162601626,0.00959616153538585,0.12804267942744,0.0463409518605171,1262500,0
43,65400,0.00153139356814701,0.00615384615384615,0.0809917355371901,0.0278756514846479,-0.0163234075980073,77200,-0.152849740932642
44,417200,0.00288461538461538,0.0200488997555012,0.0799896453533523,0.110707818276071,-0.00924368050830771,458600,-0.0902747492368077
45,185300,0.000539956803455724,0.000539956803455724,0.00216333153055706,0.00261071758221898,-0.00580083606352899,202500,-0.0849382716049383
46,300100,-0.000666000666000666,0.00166889185580774,0.0916696980720262,0.0910586380289953,0.00260268357258076,300500,-0.00133111480865225
47,347400,0.00754060324825986,0.0241745283018868,0.0533656761673742,0.0383596536511721,0.00367120984356695,347400,0
48,305400,0.00592885375494071,0.0220883534136546,0.0852878464818763,0.118189025500637,0.0026242541224073,305400,0
49,478100,0.00716241836949652,0.0217995298140628,0.0710125448028674,0.107072795782543,-0.00769577202973781,524200,-0.0879435330026707
50,480600,0.00881612090680101,0.0223356732610083,0.0766129032258065,0.103810041800533,-0.00603682286791785,523300,-0.0815975539843302
51,721000,0.00867375489647454,0.0280906887209468,0.0533235938641344,0.142552883078096,0.018117309945457,721000,0
52,469600,0.011632916846187,0.0361871138570168,0.105461393596987,0.0614025852274638,-0.00806327579657129,509200,-0.0777690494893951
53,299100,0.00335457900033546,0.010472972972973,0.0360235538621406,0.0829553245125245,-0.0123567006004535,360300,-0.169858451290591
54,409900,0.00539612460142261,0.0161130391670798,0.0838180856689582,0.125758616298119,-0.000849880620450438,415700,-0.0139523694972336
55,795400,0.00913473737630043,0.0265875064532783,0.0605333333333333,0.130740240776313,0.0238141344752671,795400,0
56,914600,0.00406191678559666,0.016787103946637,0.031697687535251,0.103992468218399,0.0139219889016589,914600,0
57,472200,0.00660839906203368,0.0251845419018671,0.0807965209430075,0.102416226407769,-0.00915714554521985,528500,-0.106527909176916
58,643000,0.0148358585858586,0.0434923726062967,0.132640479126299,0.0730365311563421,0.0218720161061561,643000,0
59,1065500,0.000187740542570168,0.00291792168674699,0.0155356462066336,0.110042974512053,0.0299911748788295,1065500,0
60,186500,0.00376749192680301,0.0202407002188184,0.0755478662053057,0.0768435091707826,0.0274185286559805,186500,0
61,270600,0.0093248787765759,0.0285062713797035,0.0763723150357995,0.0499229398248533,0.0192614510611939,270600,0
62,674100,0.00342363798749628,0.0141417180683015,0.0666139240506329,0.0894131789960941,,674100,0
